MET,RATE,ERROR,OBSID
89368043.2499890029,370.9588928223,1.6961190701,30001011002
89368343.2499890029,424.6625061035,1.8110681772,30001011002
89368643.2499890029,427.9054565430,1.8163027763,30001011002
89368943.2499890029,440.6823120117,1.8521400690,30001011002
89369243.2499890029,693.1891479492,2.5083653927,30001011002
89369543.2499890029,610.3760986328,2.3023986816,30001011002
89369843.2499890029,440.8457031250,1.8568516970,30001011002
89370143.2499890029,365.6918334961,1.6551311016,30001011002
89370443.2499890029,522.9610595703,2.0834281445,30001011002
89370743.2499890029,589.6114501953,2.2747550011,30001011002
89371043.2499890029,518.7015380859,2.0944776535,30001011002
89371343.2499890029,507.3541564941,4.6907544136,30001011002
89373743.2499890029,669.9498901367,3.3107542992,30001011002
89374043.2499890029,552.5255737305,2.1534550190,30001011002
89374343.2499890029,616.5340576172,2.3207917213,30001011002
89374643.2499890029,557.6636352539,2.1645214558,30001011002
89374943.2499890029,643.4796142578,2.3875439167,30001011002
89375243.2499890029,729.1990356445,2.6051049232,30001011002
89375543.2499890029,565.5866088867,2.1841120720,30001011002
89375843.2499890029,539.7098388672,2.1249594688,30001011002
89376143.2499890029,535.1972045898,2.1079080105,30001011002
89376443.2499890029,476.4720458984,1.9699758291,30001011002
89376743.2499890029,403.3962707520,1.7666316032,30001011002
89377043.2499890029,393.4793395996,2.3210229874,30001011002
89379443.2499890029,458.6955261230,4.6248860359,30001011002
89379743.2499890029,561.6802978516,2.1929981709,30001011002
89380043.2499890029,461.6792907715,1.9073909521,30001011002
89380343.2499890029,522.0234375000,2.0667278767,30001011002
89380643.2499890029,511.6634521484,2.0411098003,30001011002
89380943.2499890029,563.9070434570,2.1775085926,30001011002
89381243.2499890029,622.8520507812,2.3298459053,30001011002
89381543.2499890029,619.3237915039,2.3244500160,30001011002
89381843.2499890029,548.5939941406,2.1484138966,30001011002
89382143.2499890029,508.7247619629,2.0588655472,30001011002
89382443.2499890029,588.2745971680,2.3139412403,30001011002
