MET,RATE,ERROR,OBSID
89368043.2499890029,25.1018238068,0.4421086311,30001011002
89368343.2499890029,30.7586860657,0.4875745773,30001011002
89368643.2499890029,31.5887603760,0.4941547215,30001011002
89368943.2499890029,33.9334983826,0.5141795874,30001011002
89369243.2499890029,67.6369094849,0.7836586237,30001011002
89369543.2499890029,53.5599594116,0.6822802424,30001011002
89369843.2499890029,33.2436676025,0.5105217695,30001011002
89370143.2499890029,25.4171867371,0.4369539022,30001011002
89370443.2499890029,40.5148696899,0.5807352662,30001011002
89370743.2499890029,48.8253936768,0.6551957726,30001011002
89371043.2499890029,40.8342132568,0.5885906816,30001011002
89371343.2499890029,40.6870193481,1.3296891451,30001011002
89373743.2499890029,60.5687599182,0.9955239296,30001011002
89374043.2499890029,43.6797370911,0.6057665944,30001011002
89374343.2499890029,54.0144538879,0.6872372031,30001011002
89374643.2499890029,46.0633583069,0.6226235628,30001011002
89374943.2499890029,55.4752159119,0.7010958195,30001011002
89375243.2499890029,67.7348709106,0.7940847874,30001011002
89375543.2499890029,47.1263732910,0.6311152577,30001011002
89375843.2499890029,43.3038902283,0.6023691297,30001011002
89376143.2499890029,45.4725799561,0.6148112416,30001011002
89376443.2499890029,36.6838569641,0.5469777584,30001011002
89376743.2499890029,28.2427196503,0.4680111706,30001011002
89377043.2499890029,25.7547760010,0.5946472287,30001011002
89379443.2499890029,35.8473777771,1.2926912308,30001011002
89379743.2499890029,46.9103851318,0.6342043281,30001011002
89380043.2499890029,35.3058166504,0.5280165672,30001011002
89380343.2499890029,45.2693519592,0.6089841127,30001011002
89380643.2499890029,41.6873588562,0.5835157037,30001011002
89380943.2499890029,48.5158462524,0.6388989687,30001011002
89381243.2499890029,55.5314483643,0.6961969137,30001011002
89381543.2499890029,55.0614433289,0.6936279535,30001011002
89381843.2499890029,45.0430984497,0.6162900925,30001011002
89382143.2499890029,42.4276275635,0.5955129266,30001011002
89382443.2499890029,49.9505233765,0.6747201681,30001011002
89382743.2499890029,64.6353530884,0.7788088918,30001011002
89383043.2499890029,12.8969526291,12.8969249725,30001011002
89385443.2499890029,55.2828559875,1.8942908049,30001011002
89385743.2499890029,69.8392181396,0.8116775155,30001011002
89386043.2499890029,45.1639556885,0.6142401099,30001011002
89386343.2499890029,35.0866050720,0.5278025866,30001011002
89386643.2499890029,17.1650543213,0.3450050950,30001011002
89386943.2499890029,26.6254940033,0.4433237016,30001011002
89387243.2499890029,30.9388179779,0.4843497574,30001011002
89387543.2499890029,30.3858795166,0.4838391244,30001011002
89387843.2499890029,27.4140625000,0.4573888481,30001011002
89388143.2499890029,33.9571266174,0.5141536593,30001011002
89388443.2499890029,53.5150718689,0.6860669255,30001011002
89388743.2499890029,54.2954711914,1.1320552826,30001011002
89391743.2499890029,60.3537483215,1.1766738892,30001011002
89392043.2499890029,68.8720932007,0.8052907586,30001011002
89392343.2499890029,48.0759811401,0.6389365196,30001011002
89392643.2499890029,30.3951797485,0.4869779050,30001011002
89392943.2499890029,53.0780220032,0.6766180396,30001011002
89393243.2499890029,67.7944030762,0.7943513989,30001011002
89393543.2499890029,89.4097747803,0.9681878686,30001011002
89393843.2499890029,94.1828918457,1.0076255798,30001011002
89394143.2499890029,64.0513992310,0.7815216184,30001011002
89394443.2499890029,75.8722991943,0.9885062575,30001011002
89397143.2499890029,59.8663406372,2.2781822681,30001011002
89398043.2499890029,23.8511428833,0.5050057173,30001011002
89398343.2499890029,52.0601539612,0.6764696240,30001011002
89398643.2499890029,65.8074951172,0.7833631635,30001011002
89398943.2499890029,47.8560256958,0.6400834322,30001011002
89399243.2499890029,79.7403335571,0.8967714310,30001011002
89399543.2499890029,98.8641967773,1.0371361971,30001011002
89399843.2499890029,77.1114273071,0.8870082498,30001011002
89400143.2499890029,120.5319747925,1.1861490011,30001011002
89400443.2499890029,107.0328063965,2.5344533920,30001011002
89426271.0000000000,77.9413528442,1.0550988913,10014001001
89426571.0000000000,101.8688125610,1.2810410261,10014001001
89426871.0000000000,105.0975189209,1.3128021955,10014001001
89427171.0000000000,90.3298950195,1.1843882799,10014001001
89427471.0000000000,80.7577590942,1.1067821980,10014001001
89427771.0000000000,69.3109359741,1.0059424639,10014001001
89428071.0000000000,69.0775680542,1.0033797026,10014001001
89428371.0000000000,69.6518478394,1.0020278692,10014001001
89428671.0000000000,92.7838668823,1.1881183386,10014001001
89428971.0000000000,63.4288711548,0.9434633851,10014001001
89429271.0000000000,68.2694625854,0.9801538587,10014001001
89429571.0000000000,129.4960479736,3.8693044186,10014001001
89431971.0000000000,63.2038650513,1.1729124784,10014001001
89432271.0000000000,38.3652191162,0.7023311853,10014001001
89432571.0000000000,46.5344848633,0.7814466357,10014001001
