MET,RATE,ERROR,OBSID
89368043.2499890029,344.9358215332,1.6353064775,30001011002
89368343.2499890029,392.8467712402,1.7418619394,30001011002
89368643.2499890029,395.2924499512,1.7455310822,30001011002
89368943.2499890029,405.4660339355,1.7765328884,30001011002
89369243.2499890029,623.2313842773,2.3783888817,30001011002
89369543.2499890029,554.9598999023,2.1953203678,30001011002
89369843.2499890029,406.5465087891,1.7829786539,30001011002
89370143.2499890029,339.5417480469,1.5946942568,30001011002
89370443.2499890029,480.9873046875,1.9978301525,30001011002
89370743.2499890029,539.0592041016,2.1748769283,30001011002
89371043.2499890029,476.3726196289,2.0069315434,30001011002
89371343.2499890029,465.2384338379,4.4914636612,30001011002
89373743.2499890029,607.4684448242,3.1525795460,30001011002
89374043.2499890029,507.4879760742,2.0637426376,30001011002
89374343.2499890029,560.8439941406,2.2134034634,30001011002
89374643.2499890029,509.8217468262,2.0694377422,30001011002
89374943.2499890029,586.1158447266,2.2786011696,30001011002
89375243.2499890029,659.2041015625,2.4768891335,30001011002
89375543.2499890029,516.7495727539,2.0874924660,30001011002
89375843.2499890029,494.6426086426,2.0341751575,30001011002
89376143.2499890029,488.1808776855,2.0130743980,30001011002
89376443.2499890029,438.6406250000,1.8900477886,30001011002
89376743.2499890029,374.2266235352,1.7014088631,30001011002
89377043.2499890029,366.8859252930,2.2409493923,30001011002
89379443.2499890029,421.6362304688,4.4341893196,30001011002
89379743.2499890029,513.1369628906,2.0959641933,30001011002
89380043.2499890029,425.1929931641,1.8303139210,30001011002
89380343.2499890029,475.1710815430,1.9716515541,30001011002
89380643.2499890029,468.7070312500,1.9532834291,30001011002
89380943.2499890029,513.5766601562,2.0780055523,30001011002
89381243.2499890029,565.2408447266,2.2193226814,30001011002
89381543.2499890029,562.3244628906,2.2147159576,30001011002
89381843.2499890029,501.9715881348,2.0548968315,30001011002
89382143.2499890029,464.8636779785,1.9678272009,30001011002
89382443.2499890029,536.6708374023,2.2099907398,30001011002
89382743.2499890029,646.1710205078,2.4623973370,30001011002
89383043.2499890029,436.7867736816,76.0582427979,30001011002
89385443.2499890029,587.8137817383,6.1684145927,30001011002
89385743.2499890029,647.2644653320,2.4700560570,30001011002
89386043.2499890029,498.6738891602,2.0396649837,30001011002
89386343.2499890029,426.0625305176,1.8367338181,30001011002
89386643.2499890029,264.1971435547,1.3513514996,30001011002
89386943.2499890029,340.8157043457,1.5850650072,30001011002
89387243.2499890029,375.8644104004,1.6870453358,30001011002
89387543.2499890029,375.9595947266,1.7004427910,30001011002
89387843.2499890029,352.8147888184,1.6379466057,30001011002
89388143.2499890029,386.8052062988,1.7339996099,30001011002
89388443.2499890029,541.1766967773,2.1797339916,30001011002
89388743.2499890029,543.1096801758,3.5782001019,30001011002
89391743.2499890029,613.0051269531,3.7490062714,30001011002
89392043.2499890029,664.7875366211,2.5012254715,30001011002
89392343.2499890029,520.2693481445,2.1007592678,30001011002
89392643.2499890029,401.9070434570,1.7689663172,30001011002
89392943.2499890029,546.9418334961,2.1707966328,30001011002
89393243.2499890029,653.1242065430,2.4647738934,30001011002
89393543.2499890029,814.3157348633,2.9207017422,30001011002
89393843.2499890029,861.9913940430,3.0474355221,30001011002
89394143.2499890029,660.0986328125,2.5072247982,30001011002
89394443.2499890029,744.2377929688,3.0951166153,30001011002
89397143.2499890029,571.7892456055,7.0213627815,30001011002
89398043.2499890029,352.6391906738,1.9361175299,30001011002
89398343.2499890029,570.5729370117,2.2392318249,30001011002
89398643.2499890029,652.7889404297,2.4658496380,30001011002
89398943.2499890029,531.6622924805,2.1316988468,30001011002
89399243.2499890029,759.0659790039,2.7656447887,30001011002
89399543.2499890029,867.8428344727,3.0716423988,30001011002
89399843.2499890029,764.3776245117,2.7919692993,30001011002
89400143.2499890029,991.7702636719,3.4009323120,30001011002
89400443.2499890029,935.6160278320,7.4926662445,30001011002
89426271.0000000000,805.6586914062,3.3890423775,10014001001
89426571.0000000000,972.0176391602,3.9547848701,10014001001
89426871.0000000000,1023.0864868164,4.0940580368,10014001001
89427171.0000000000,868.1713867188,3.6713182926,10014001001
89427471.0000000000,813.3155517578,3.5099380016,10014001001
89427771.0000000000,762.0437622070,3.3325796127,10014001001
89428071.0000000000,754.2815551758,3.3132407665,10014001001
89428371.0000000000,765.5755004883,3.3211746216,10014001001
89428671.0000000000,891.4474487305,3.6815354824,10014001001
89428971.0000000000,690.6137695312,3.1109936237,10014001001
89429271.0000000000,714.6259155273,3.1702721119,10014001001
89429571.0000000000,1116.2469482422,11.3592767715,10014001001
89431971.0000000000,671.1604003906,3.8197402954,10014001001
89432271.0000000000,463.0332031250,2.4372107983,10014001001
89432571.0000000000,523.1300048828,2.6172506809,10014001001
89432871.0000000000,583.4077148438,2.8080358505,10014001001
89433171.0000000000,757.7511596680,3.3648166656,10014001001
89433471.0000000000,573.4830322266,2.7709352970,10014001001
89433771.0000000000,718.3071289062,3.2058207989,10014001001
89434071.0000000000,756.1366577148,3.2955436707,10014001001
89434371.0000000000,725.4717407227,3.2056310177,10014001001
89434671.0000000000,622.8899536133,2.8807377815,10014001001
89434971.0000000000,744.0640258789,3.2545669079,10014001001
89435271.0000000000,708.5147705078,4.8743267059,10014001001
136506193.0000000000,341.2718811035,1.5940018892,30001011005
136506493.0000000000,337.8846130371,1.5585663319,30001011005
136506793.0000000000,336.6042175293,1.5544663668,30001011005
136507093.0000000000,340.9154663086,1.5645365715,30001011005
136507393.0000000000,338.1672973633,1.5578711033,30001011005
136507693.0000000000,355.8811950684,1.6100713015,30001011005
136507993.0000000000,363.1550292969,1.6268719435,30001011005
136508293.0000000000,351.9732971191,1.5992466211,30001011005
136508593.0000000000,368.2793273926,1.6467201710,30001011005
136508893.0000000000,351.7828979492,1.5990021229,30001011005
136509193.0000000000,356.8744506836,1.6127955914,30001011005
136509493.0000000000,341.4815673828,2.6111905575,30001011005
136511893.0000000000,367.5895080566,4.2306523323,30001011005
136512193.0000000000,369.1312561035,1.6718181372,30001011005
136512493.0000000000,370.9211425781,1.6575918198,30001011005
136512793.0000000000,396.0794067383,1.7325031757,30001011005
136513093.0000000000,383.8271484375,1.6950914860,30001011005
136513393.0000000000,369.7098083496,1.6521954536,30001011005
136513693.0000000000,361.8594055176,1.6242114305,30001011005
136513993.0000000000,376.5052490234,1.6699270010,30001011005
136514293.0000000000,358.7455444336,1.6201465130,30001011005
136514593.0000000000,339.9027709961,1.5661376715,30001011005
136514893.0000000000,348.5484008789,1.5877279043,30001011005
136515193.0000000000,342.1276245117,1.8473247290,30001011005
136518193.0000000000,342.4732666016,2.8254537582,30001011005
136518493.0000000000,354.0420227051,1.6105301380,30001011005
